Well ID	Time ID	Median C2	Median C3					
104110501	1	27164	27760					
104110501	2	33695	28722					
104110501	3	34069	29069					
104110501	4	33274	29190					
104110501	5	32778	31003					
104110501	6	33177	31193					
104110501	7	33590	29817					
104110501	8	33230	30737					
104110501	9	37173	30203					
104110504	1	21367	15154					
104110504	2	21585	15732					
104110504	3	22928	16279					
104110504	4	22803	16723					
104110505	7	22852	17989					
104110509	1	21811	21044					
104110509	2	20833	21157					
104110509	3	21236	21309					
104110509	4	21113	22672					
104110509	5	21079	22502					
104110509	6	21644	22673					
104110509	7	21582	23122					
104110509	8	21526	23196					
104110509	9	21885	23081					
104110602	1	47207	24269					
104110602	2	45275	24642					
104110602	3	46551	24995					
104110602	4	46531	25385					
104110602	5	47037	26672					
104110602	6	48664	26411					
104110602	7	47586	26203					
104110602	8	49465	26687					
104110602	9	49668	26290					
104110608	1	19367	21413					
104110608	2	20244	22797					
104110608	3	19598	20756					
104110608	4	20344	21741					
104110608	5	21222	23320					
104110608	6	20177	22759					
104110608	7	21075	23279					
104110608	8	22090	24276					
104110608	9	21097	22390					
104110701	2	23517	13106					
104110702	4	22466	16802					
104110703	4	21980	17312					
104110710	1	24751	15616					
104110710	2	27165	15560					
104110710	3	27931	16305					
104110710	4	26745	16374					
104110710	5	27928	17579					
104110710	6	31127	17967					
104110710	7	29443	17200					
104110710	8	30789	17868					
104110710	9	30652	18094					
104110804	1	21762	20149					
104110804	2	22207	20073					
104110804	3	21247	21057					
104110804	4	22252	21082					
104110804	5	22686	22834					
104110804	6	22353	22829					
104110804	7	23346	23332					
104110804	8	23765	22775					
104110804	9	24307	21430					
104110806	3	22320	14974					
104110808	9	22408	15290					
104110811	1	17393	20078					
104110811	2	17952	20893					
104110811	3	17715	20261					
104110811	4	17801	20413					
104110811	5	19193	21132					
104110811	6	18410	20307					
104110811	7	19218	20843					
104110811	8	21429	21617					
104110811	9	19492	21128					
104110906	1	29229	22870					
104110906	2	26356	22383					
104110906	3	27690	23890					
104110906	4	32582	24577					
104110906	5	30614	24954					
104110906	6	29061	24643					
104110906	7	29054	25245					
104110906	8	28736	24849					
104110906	9	31476	25290					
104110910	1	21108	24044					
104110910	2	21282	23387					
104110910	3	21500	23477					
104110910	4	21011	26010					
104110910	5	21764	26036					
104110910	6	22607	25360					
104110910	7	23610	25011					
104110910	8	23452	25439					
104110910	9	23418	25209					
104110911	6	18974	12792					
104111001	1	21336	22625					
104111001	2	21552	23689					
104111001	3	21488	23411					
104111001	4	22254	24657					
104111001	5	22868	24952					
104111001	6	22408	25254					
104111001	7	22460	25445					
104111001	8	23154	25879					
104111001	9	22213	25743					
104111002	1	22492	17401					
104111002	2	22391	17566					
104111002	3	22817	17983					
104111002	4	23378	18584					
104111002	5	23126	18669					
104111002	6	23488	18917					
104111002	7	23818	19295					
104111002	8	24371	19037					
104111002	9	23303	19059					
104111003	1	24320	20761					
104111003	2	25655	22182					
104111003	3	25664	22491					
104111003	4	26511	24503					
104111003	5	26747	23773					
104111003	6	27132	23676					
104111003	7	26800	24551					
104111003	8	27007	24264					
104111003	9	27279	23984					
104111101	1	21017	14329					
104111101	2	21352	14590					
104111101	3	24268	15167					
104111101	4	26805	16545					
104111101	5	24634	16192					
104111101	6	22427	16057					
104111101	7	22216	16815					
104111101	8	22757	16523					
104111101	9	22891	17004					
104111103	1	22635	25280					
104111103	2	23392	25318					
104111103	3	22320	25781					
104111103	4	25633	27013					
104111103	5	25325	27755					
104111103	6	25225	28366					
104111103	7	25601	27551					
104111103	8	26386	28603					
104111103	9	27573	27503					
104111105	1	24503	14473					
104111105	2	24845	14440					
104111105	3	25141	15429					
104111105	4	25296	16211					
104111105	5	28133	16902					
104111105	6	25557	16320					
104111105	7	27598	17056					
104111105	8	26843	17152					
104111105	9	26876	17044					
105100103	1	39437	14530					
105100103	2	45988	14613					
105100103	3	49203	15506					
105100103	4	48788	16319					
105100103	5	47605	16969					
105100103	6	51501	17069					
105100103	7	52287	16935					
105100103	8	52734	17341					
105100103	9	51966	17548					
105100104	1	20042	21288					
105100104	2	19877	21334					
105100104	3	20255	22162					
105100104	4	20475	23619					
105100104	5	21604	23062					
105100104	6	21984	24622					
105100104	7	22131	22929					
105100104	8	21854	24459					
105100104	9	22622	24047					
105100105	1	19934	19898					
105100105	2	18407	17624					
105100105	3	19899	19756					
105100105	4	20306	20518					
105100105	5	20073	20142					
105100105	6	19866	19694					
105100105	7	20434	19729					
105100105	8	20739	20553					
105100105	9	20540	20967					
105100106	4	17022	15099					
105100110	1	20436	15217					
105100110	2	22332	15145					
105100110	3	22794	15177					
105100110	4	22245	15981					
105100110	5	22497	16967					
105100110	6	21349	16613					
105100110	7	21764	16491					
105100110	8	21541	17284					
105100110	9	19257	16920					
105100201	1	21561	22860					
105100201	2	21274	23752					
105100201	3	22376	24552					
105100201	4	22193	25831					
105100201	5	22754	25921					
105100201	6	22778	25540					
105100201	7	23160	26000					
105100201	8	22974	26666					
105100201	9	23235	25628					
105100207	1	20639	16130					
105100207	2	19837	15394					
105100207	3	19957	16319					
105100207	4	20650	17068					
105100207	5	20627	17163					
105100207	6	21158	17616					
105100207	7	20811	17331					
105100207	8	22030	18064					
105100207	9	22013	17784					
105100305	1	20622	19277					
105100305	2	20671	19327					
105100305	3	20756	18947					
105100305	4	21604	20886					
105100305	5	21417	20089					
105100305	6	21378	20742					
105100305	7	21927	20921					
105100305	8	22102	20016					
105100305	9	21872	21975					
105100309	1	18603	16767					
105100309	2	18566	16702					
105100309	3	19828	17960					
105100309	4	20700	18584					
105100309	5	19547	19278					
105100309	6	20226	18839					
105100309	7	21204	19073					
105100309	8	19956	19023					
105100309	9	20355	18902					
105100504	1	20713	17781					
105100504	2	20598	17995					
105100504	3	20413	18996					
105100504	4	24042	19208					
105100504	5	24882	19825					
105100504	6	23867	20818					
105100504	7	23474	19671					
105100504	8	25431	20269					
105100504	9	24335	20806					
105100611	3	17650	11617					
105100701	1	23386	23614					
105100701	2	22962	23651					
105100701	3	22911	24244					
105100701	4	24881	26057					
105100701	5	25389	27206					
105100701	6	24515	26045					
105100701	7	24833	26379					
105100701	8	25021	26396					
105100701	9	25507	27151					
105100706	1	22955	18105					
105100706	2	21410	18362					
105100706	3	21592	19457					
105100706	4	22211	19807					
105100706	5	22075	19959					
105100706	6	22446	20331					
105100706	7	22700	20543					
105100706	8	22704	20559					
105100706	9	22970	20916					
105100708	1	22673	15259					
105100708	2	21238	15324					
105100708	3	21632	16123					
105100708	4	21955	16771					
105100708	5	23265	17317					
105100708	6	23380	17946					
105100708	7	23775	18056					
105100708	8	23617	18157					
105100708	9	23840	17944					
105100709	1	20908	14899					
105100709	2	21325	14990					
105100709	3	23399	15216					
105100709	4	24093	16551					
105100709	5	24819	16701					
105100709	6	24938	16356					
105100709	7	25128	17292					
105100709	8	26070	16485					
105100709	9	25086	17367					
105100711	1	23610	13720					
105100711	2	21310	13035					
105100711	3	21856	13472					
105100711	4	22765	14644					
105100711	5	23234	14766					
105100711	6	23076	14741					
105100711	7	25017	15399					
105100711	8	23651	15506					
105100711	9	23888	15657					
105100802	1	24667	20119					
105100802	2	24942	20164					
105100802	3	25867	20538					
105100802	4	25622	21630					
105100802	5	27126	22233					
105100802	6	26787	22545					
105100802	7	26905	22383					
105100802	8	26886	22691					
105100802	9	27813	22536					
